"Código Pagamento";"Código Lista";"Data Emissão";"Código Banco";"Nome Banco";"Agência";"Valor em R$"
"114702114012024OB000002";"114702114012023LB000035";"02/01/2024";"104";"Caixa Econômica Federal";"0863";"18886,53"
"114702114012024OB000002";"114702114012023LB000035";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"3251,50"
"114702114012024OB000002";"114702114012023LB000035";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"708,98"
"114702114012024OB000005";"114702114012023LB000037";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"59411,06"
"114702114012024OB000005";"114702114012023LB000037";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"3917,84"
"114702114012024OB000005";"114702114012023LB000037";"02/01/2024";"104";"Caixa Econômica Federal";"0863";"17372,42"
"114702114012024OB000006";"114702114012023LB000036";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"2364843,94"
"114702114012024OB000006";"114702114012023LB000036";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"121213,34"
"114702114012024OB000006";"114702114012023LB000036";"02/01/2024";"104";"Caixa Econômica Federal";"0863";"666786,96"
"114702114012024OB000006";"114702114012023LB000036";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"53140,19"
"114702114012024OB000006";"114702114012023LB000036";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"155232,85"
"114702114012024OB000006";"114702114012023LB000036";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"65550,89"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"6054962,28"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3055";"212376,82"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0100";"10499,67"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"521321,77"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"85421,15"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"70756,17"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"15624,24"
"130006000012024OB000001";"130006000012023LB000080";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"746978,25"
"130006000012024OB000002";"130006000012023LB000082";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"2213118,40"
"130006000012024OB000002";"130006000012023LB000082";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3055";"41184,99"
"130006000012024OB000002";"130006000012023LB000082";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0100";"17494,79"
"130006000012024OB000002";"130006000012023LB000082";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"373129,06"
"130006000012024OB000002";"130006000012023LB000082";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"64857,86"
"130006000012024OB000002";"130006000012023LB000082";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"62485,75"
"130006000012024OB000002";"130006000012023LB000082";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"62498,47"
"130006000012024OB000003";"130006000012023LB000081";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"61966,12"
"130006000012024OB000003";"130006000012023LB000081";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3055";"5215,27"
"130006000012024OB000003";"130006000012023LB000081";"02/01/2024";"70";"BRB - Banco de Brasília S.A.";"0100";"10649,71"
"130006000012024OB000003";"130006000012023LB000081";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"18996,38"
"130006000012024OB000003";"130006000012023LB000081";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"3484,10"
"130006000012024OB000003";"130006000012023LB000081";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"6390,98"
"130006000012024OB000003";"130006000012023LB000081";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"647,52"
"130006000012024OB000004";"130006000012023LB000083";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"978,79"
"130006000012024OB000004";"130006000012023LB000083";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"1710,02"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"109235124,90"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"5166179,73"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"0100";"347955,26"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"18878452,88"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"3539594,64"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"5198427,90"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"1063697,21"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"8927298,12"
"130248000012024OB000011";"130248000012023LB000007";"02/01/2024";"";"";"9999";"39805,52"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"43874120,59"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"1150036,38"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"0100";"218449,53"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"47";"Banco do Estado de Sergipe S.A.";"0014";"4294,98"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"3830835,69"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"1749850,57"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"1622876,93"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"88886,86"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"665737,89"
"130248000012024OB000012";"130248000012023LB000009";"02/01/2024";"";"";"9999";"5843,52"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"1215987,73"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"95322,18"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"41";"Banco do Estado do Rio Grande do Sul S.A.";"0100";"18992,20"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"47";"Banco do Estado de Sergipe S.A.";"0014";"10495,34"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"392019,50"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"196876,53"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"141696,59"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"748";"Banco Cooperativo Sicredi S.A.";"0100";"9900,00"
"130248000012024OB000014";"130248000012023LB000008";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"17950,87"
"130248000012024OB000016";"130248000012023LB000010";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"23343,35"
"130248000012024OB000016";"130248000012023LB000010";"02/01/2024";"104";"Caixa Econômica Federal";"2220";"8855,85"
"130248000012024OB000016";"130248000012023LB000010";"02/01/2024";"237";"Banco Bradesco S.A.";"0606";"3173,95"
"130248000012024OB000016";"130248000012023LB000010";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"6965,25"
"130248000012024OB000016";"130248000012023LB000010";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"1160,68"
"135046132032024OB000001";"135046132032023LB000105";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"79075579,96"
"135046132032024OB000001";"135046132032023LB000105";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"5233067,33"
"135046132032024OB000001";"135046132032023LB000105";"02/01/2024";"104";"Caixa Econômica Federal";"0974";"21990233,33"
"135046132032024OB000001";"135046132032023LB000105";"02/01/2024";"237";"Banco Bradesco S.A.";"0484";"3637784,96"
"135046132032024OB000001";"135046132032023LB000105";"02/01/2024";"341";"Itaú UniBanco S.A.";"0522";"3204107,69"
"135046132032024OB000001";"135046132032023LB000105";"02/01/2024";"756";"Banco Cooperativo do Brasil S.A. - BANCOOB";"0001";"8494348,58"
"135046132032024OB000002";"135046132032023LB000106";"02/01/2024";"1";"Banco do Brasil S.A.";"1607";"944183,63"
"135046132032024OB000002";"135046132032023LB000106";"02/01/2024";"33";"Banco Santander (Brasil) S.A.";"3035";"130294,16"
"135046132032024OB000002";"135046132032023LB000106";"02/01/2024";"104";"Caixa Econômica Federal";"0974";"251833,85"
