"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170178 - DELEGACIA DA RFB EM CAXIAS DO SUL";"709.399,64";"1.530,25";"1.437,74";"503.785,99";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170008 - PROCURADORIA GERAL DA FAZENDA NACIONAL";"177.503,16";"4.051,64";"1.995,41";"25.253.318,35";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170600 - COORD.GERAL DE CONTROLE DA DIVIDA PUBLICA";"308.886.396.778,31";"49.849.832.900,73";"49.849.832.900,73";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170700 - COORD.GERAL DE CONTR.E EXEC.DE OPER.FISCAIS.";"- 13.138.541,54";"1.101.497.267,79";"1.101.497.267,79";"970.721.243,21";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170217 - SUPERINTENDENCIA REGIONAL DA RFB NA 2A RF";"483.651,54";"2.360.773,28";"2.621.334,11";"527.909,67";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170072 - DELEGACIA DA RFB EM ARACAJU";"1.023.847,70";"257.870,73";"245.778,38";"15.575,29";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"1.301.391,63";"21.083,50";"8.647,03";"2.043.733,76";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170109 - DELEGACIA DA RFB EM CAMPO GRANDE";"48.745,12";"29.459,13";"27.251,98";"93.382,98";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170262 - DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"1.476.688,33";"1.296.490,06";"1.159.676,73";"162.105,50";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170008 - PROCURADORIA GERAL DA FAZENDA NACIONAL";"39.781.825,63";"38.946.190,22";"39.909.025,88";"22.439.103,57";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170122 - DELEGACIA DA RFB EM NOVA IGUACU";"- 4.505,60";"494,40";"494,40";"0,00";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170590 - UCP/SE/MF-PNAFM III";"110.000,00";"63.201.061,87";"63.200.202,80";"20.042,41";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170198 - DELEGACIA DA RFB EM GOIANIA";"84.965,54";"128.111,49";"191.987,86";"324,52";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170094 - DELEGACIA DA RFB EM VARGINHA";"5.065,53";"371.193,72";"427.127,19";"111.512,00";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170109 - DELEGACIA DA RFB EM CAMPO GRANDE";"130.561,02";"110.157,60";"110.220,19";"7.104,54";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170147 - DELEGACIA DA RFB EM SANTO ANDRE";"91.511,78";"29.337,81";"17.311,33";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170600 - COORD.GERAL DE CONTROLE DA DIVIDA PUBLICA";"49.244.184.163,44";"287.908.779.703,74";"287.908.779.703,74";"0,00";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170138 - DELEGACIA DA RFB EM RIBEIRAO PRETO";"3.678.240,51";"911.210,20";"788.657,52";"629.254,54";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170156 - SUPERINTENDENCIA REGIONAL DA RFB NA 9A RF";"24.036.734,87";"2.748.323,40";"2.288.638,53";"3.614.900,44";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170133 - SUPERINTENDENCIA REGIONAL DA RFB NA 8A RF";"6.487.097,63";"5.267.212,68";"4.679.704,94";"1.061.420,42";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170008 - PROCURADORIA GERAL DA FAZENDA NACIONAL";"66.745.705,66";"28.497.782,32";"22.661.707,91";"82.089,38";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"6.788.758,36";"2.393.133,96";"2.453.290,31";"639.655,81";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170999 - COORDENACAO GERAL DE CONTABILIDADE";"0,00";"0,00";"0,00";"49.061,11";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170092 - DELEGACIA DA RFB EM JUIZ DE FORA";"21.368,91";"26.951,56";"29.868,45";"5.604,29";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170533 - ALFANDEGA DA RFB EM SAO PAULO";"- 413.898,09";"852.131,68";"672.796,84";"1.037.309,24";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170156 - SUPERINTENDENCIA REGIONAL DA RFB NA 9A RF";"2.526.815,06";"4.003.400,11";"4.220.415,99";"3.531.926,63";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170138 - DELEGACIA DA RFB EM RIBEIRAO PRETO";"46.763,28";"156.280,24";"272.307,77";"83.212,29";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170177 - SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"1.333.958,12";"3.422.197,79";"3.084.077,71";"210.157,58";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170121 - DELEGACIA DA RFB EM NITEROI";"11.290,00";"17.670,81";"17.670,81";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170007 - SUBSECRETARIA DE ASSUNTOS CORPORATIVOS- SUCOP";"179.523,43";"2.881.201,18";"3.525.656,02";"57.436,03";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170999 - COORDENACAO GERAL DE CONTABILIDADE";"0,00";"0,00";"0,00";"962.475,54";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170177 - SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"3.752.011,62";"2.555.170,84";"2.669.477,21";"743.579,22";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170627 - CENTRO DE SERVICOS COMPARTILHADOS - MF";"0,00";"9.564,00";"9.564,00";"0,00";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170512 - COORDENACAO GERAL DE HAVERES FINANCEIROS";"25.000,00";"6.206.797,86";"6.206.797,86";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170008 - PROCURADORIA GERAL DA FAZENDA NACIONAL";"- 32.562.544,30";"11.226.390,05";"16.669.722,66";"- 92.835,63";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170135 - DELEGACIA DA RFB EM BAURU";"207.480,24";"235.238,95";"233.521,96";"111.518,68";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"9.555.703,27";"1.826.317,42";"787.569,28";"613.540,65";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"200281 - FOLHA DE PAGAMENTO - MF";"1.178.818.967,50";"631.650.548,30";"734.759.983,96";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170008 - PROCURADORIA GERAL DA FAZENDA NACIONAL";"5.966.798,90";"26.887.320,11";"25.842.388,65";"129.960,41";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170999 - COORDENACAO GERAL DE CONTABILIDADE";"0,00";"0,00";"0,00";"760.574,78";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170072 - DELEGACIA DA RFB EM ARACAJU";"71.600,55";"460,55";"417,03";"107.530,06";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170116 - SUPERINTENDENCIA REGIONAL DA RFB NA 7A RF";"2.180.662,79";"250.153,02";"188.097,48";"2.833.748,46";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"1.122.475,48";"3.668.477,84";"3.639.648,93";"34.264,84";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"2.112.700,70";"4.069.931,92";"3.925.966,78";"161.585,41";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170318 - DELEGACIA DA RFB EM JUNDIAI";"- 179.499,43";"77.340,85";"87.273,88";"940,02";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170209 - DELEGACIA DA RFB EM MANAUS";"240.463,00";"118.398,35";"29.806,32";"63.899,21";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170626 - SUBSECRETARIA DE GESTAO,TEC.DA INF. ORCAMENTO";"383.681,62";"609.991,61";"545.327,48";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"200281 - FOLHA DE PAGAMENTO - MF";"289.422.781,86";"641.159.371,21";"635.258.102,60";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170512 - COORDENACAO GERAL DE HAVERES FINANCEIROS";"25.000,00";"6.363.929,69";"6.363.929,69";"0,00";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170262 - DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"104.065,60";"132.805,65";"163.959,49";"- 32,83";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170512 - COORDENACAO GERAL DE HAVERES FINANCEIROS";"25.000,00";"8.032.976,56";"8.032.976,56";"0,00";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170133 - SUPERINTENDENCIA REGIONAL DA RFB NA 8A RF";"9.754.534,61";"9.033.810,22";"8.799.518,74";"1.246.646,19";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170080 - DELEGACIA DA RFB EM FEIRA DE SANTANA";"15.366,60";"6.821,00";"6.677,31";"122.824,13";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170318 - DELEGACIA DA RFB EM JUNDIAI";"222.212,69";"24.353,56";"10.463,87";"821.823,55";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170156 - SUPERINTENDENCIA REGIONAL DA RFB NA 9A RF";"132.704,79";"4.570.713,58";"4.408.915,69";"5.606.207,14";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170201 - DELEGACIA DA RFB EM PORTO VELHO";"58.104,16";"98.151,29";"98.151,29";"131.147,36";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170135 - DELEGACIA DA RFB EM BAURU";"- 162.240,14";"224.064,16";"356.015,30";"4.019,41";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170700 - COORD.GERAL DE CONTR.E EXEC.DE OPER.FISCAIS.";"1.852.223.109,26";"7.504.740.400,52";"7.504.740.400,52";"95.230.498,79";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170135 - DELEGACIA DA RFB EM BAURU";"205.417,29";"291.105,74";"281.037,29";"12,24";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170178 - DELEGACIA DA RFB EM CAXIAS DO SUL";"7.818,27";"292.727,56";"308.191,64";"217.605,94";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170103 - DELEGACIA DA RFB EM VITORIA";"- 8.698,48";"4.112,87";"4.112,87";"2.057,38";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170217 - SUPERINTENDENCIA REGIONAL DA RFB NA 2A RF";"2.749.644,90";"3.138.593,50";"3.124.004,48";"234.565,02";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170205 - DELEGACIA DA RFB EM RIO BRANCO";"0,00";"0,00";"0,00";"49.502,03";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170168 - ALFANDEGA DA RFB PORTO DE SANTOS";"2.300,00";"889.892,67";"756.730,61";"1.101.561,10";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170339 - COORDENACAO-GERAL DE PESQ.INVESTIGACAO DA RFB";"0,00";"461.262,94";"367.077,97";"0,00";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"3.497.968,14";"3.631.672,88";"3.537.258,93";"23.559,11";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170205 - DELEGACIA DA RFB EM RIO BRANCO";"52.291,10";"79.267,81";"79.933,61";"0,00";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170092 - DELEGACIA DA RFB EM JUIZ DE FORA";"1.645,37";"21.371,16";"23.202,33";"70.258,37";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170217 - SUPERINTENDENCIA REGIONAL DA RFB NA 2A RF";"1.389.887,81";"2.465.708,55";"2.579.396,68";"543.091,28";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170109 - DELEGACIA DA RFB EM CAMPO GRANDE";"128.362,05";"86.430,02";"89.692,97";"1.185,10";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170040 - SUPERINTENDENCIA REGIONAL DA RFB NA 3A RF";"358.978,22";"1.138.662,45";"1.039.548,14";"1.777,25";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170860 - COORD. ANALISE E INF TRANS FIN INTERGOV/STN";"381.943.467.856,00";"18.965.341.224,99";"18.965.341.224,99";"14.982.816.988,04";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170116 - SUPERINTENDENCIA REGIONAL DA RFB NA 7A RF";"409.558,82";"2.931.526,42";"3.086.018,38";"932.725,43";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170156 - SUPERINTENDENCIA REGIONAL DA RFB NA 9A RF";"19.281.414,85";"4.334.229,54";"4.238.664,06";"4.641.750,30";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170066 - DELEGACIA DA RFB EM MACEIO";"11.931,96";"11.931,96";"69.007,14";"10.711,58";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"38.648,20";"3.122.055,28";"3.179.345,77";"210.079,04";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170209 - DELEGACIA DA RFB EM MANAUS";"851.286,39";"112.765,06";"123.429,95";"106.082,40";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170078 - SUPERINTENDENCIA REGIONAL DA RFB NA 5A RF";"128.959,96";"807.228,05";"832.394,13";"192.445,81";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"200281 - FOLHA DE PAGAMENTO - MF";"4.670.674,29";"647.816.946,84";"627.906.282,68";"0,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170116 - SUPERINTENDENCIA REGIONAL DA RFB NA 7A RF";"1.949.283,76";"2.839.658,73";"2.888.196,93";"569.679,03";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170700 - COORD.GERAL DE CONTR.E EXEC.DE OPER.FISCAIS.";"6.045.264.120,71";"1.599.909.602,09";"1.599.909.602,09";"775.710.482,71";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170092 - DELEGACIA DA RFB EM JUIZ DE FORA";"720,00";"720,00";"720,00";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170626 - SUBSECRETARIA DE GESTAO,TEC.DA INF. ORCAMENTO";"1.108.769,68";"276.019,00";"276.019,00";"0,00";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170018 - SUPERINTENDENCIA REGIONAL DA RFB NA 1A RF";"3.560.020,07";"2.341.192,85";"2.316.283,49";"733.513,97";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170133 - SUPERINTENDENCIA REGIONAL DA RFB NA 8A RF";"26.469.840,26";"9.177.327,79";"9.475.723,90";"832.611,36";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170147 - DELEGACIA DA RFB EM SANTO ANDRE";"168.538,00";"160.875,46";"215.358,21";"0,00";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170217 - SUPERINTENDENCIA REGIONAL DA RFB NA 2A RF";"9.529.214,20";"38.381,62";"38.281,98";"1.859.867,67";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170088 - SUPERINTENDENCIA REGIONAL DA RFB NA 6A RF";"3.168.433,27";"2.979.310,73";"3.104.067,25";"1.391,83";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170479 - CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS";"500.000,00";"143.943,29";"141.728,39";"3.739.035,44";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"200281 - FOLHA DE PAGAMENTO - MF";"8.161.836.392,87";"626.483.708,40";"115.602.401,94";"639.773.957,80";
"01/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"241.197.328,72";"19.027.324,81";"2.786.889,49";"20.002.200,49";
"07/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"1.506.267,80";"20.253.996,16";"25.852.192,52";"14.973,22";
"03/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"1.808.816,85";"20.055.869,38";"19.128.261,44";"405.037,63";
"02/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"2.224.911,38";"19.082.301,86";"19.676.032,58";"533.821,85";
"06/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"2.343.930,88";"25.021.326,86";"20.451.636,98";"29.441,61";
"04/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"2.224.828,84";"19.804.964,39";"19.860.005,15";"129.927,95";
"05/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"2.674.703,63";"20.489.834,45";"20.232.890,20";"49.174,62";
"08/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"1.991.579,07";"19.723.012,01";"19.947.887,47";"207.007,83";
"09/2024";"25000 - Ministério da Fazenda";"25208 - Superintendência de Seguros Privados";"173039 - SUPERINTENDENCIA DE SEGUROS PRIVADOS - RJ";"652.519,96";"19.575.937,25";"18.140.758,63";"45.928,66";
