"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170321 - DELEGACIA DA RFB EM PIRACICABA";"1.770,43";"1.770,43";"1.770,43";"4.414,84";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170024 - DELEGACIA DA RFB EM MACAPA";"13.000,00";"0,00";"0,00";"0,00";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170170 - DELEGACIA DA RFB EM JOACABA";"0,00";"0,00";"0,00";"773,89";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170479 - CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS";"358.167,61";"445.587,11";"454.853,31";"0,00";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170627 - CENTRO DE SERVICOS COMPARTILHADOS - MF";"0,00";"798,00";"760,89";"42.630,88";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170700 - COORD.GERAL DE CONTR.E EXEC.DE OPER.FISCAIS.";"420.316.394,23";"859.360.153,55";"859.360.153,55";"6.455.346,92";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"200281 - FOLHA DE PAGAMENTO - MF";"209.867.072,58";"633.976.031,25";"630.297.231,39";"0,00";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170479 - CONSELHO ADMINISTRATIVO DE RECURSOS FISCAIS";"0,00";"206.492,54";"207.712,54";"0,00";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170627 - CENTRO DE SERVICOS COMPARTILHADOS - MF";"455.880,42";"48.690,92";"30.904,58";"0,00";
"05/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170109 - DELEGACIA DA RFB EM CAMPO GRANDE";"236.725,12";"104.969,15";"102.085,08";"41.177,57";
"03/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170047 - DELEGACIA DA RFB EM NATAL";"251.947,68";"473.099,07";"526.755,70";"68.230,70";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170198 - DELEGACIA DA RFB EM GOIANIA";"1.172.440,72";"138.992,41";"140.619,37";"11.488,11";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170078 - SUPERINTENDENCIA REGIONAL DA RFB NA 5A RF";"3.573.658,23";"854.712,35";"944.006,60";"585.093,53";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170533 - ALFANDEGA DA RFB EM SAO PAULO";"- 121.219,85";"182.517,50";"221.768,79";"739.469,18";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170133 - SUPERINTENDENCIA REGIONAL DA RFB NA 8A RF";"11.374.271,32";"8.249.055,48";"7.689.502,61";"1.113.757,78";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170590 - UCP/SE/MF-PNAFM III";"300.000,00";"20.435,77";"20.435,77";"0,00";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170170 - DELEGACIA DA RFB EM JOACABA";"2.837,32";"636,63";"636,63";"1.203,82";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170205 - DELEGACIA DA RFB EM RIO BRANCO";"14.375,68";"69.933,20";"69.538,51";"8.476,56";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170040 - SUPERINTENDENCIA REGIONAL DA RFB NA 3A RF";"2.812.903,26";"781.546,33";"789.021,21";"72.766,57";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170081 - DELEGACIA DA RFB EM VITORIA DA CONQUISTA";"79.790,89";"324.294,69";"236.730,13";"61.280,99";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170018 - SUPERINTENDENCIA REGIONAL DA RFB NA 1A RF";"6.566.606,33";"3.237.837,57";"3.313.863,52";"923.860,17";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170318 - DELEGACIA DA RFB EM JUNDIAI";"54.908,40";"50.947,25";"53.789,80";"162.990,00";
"09/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170047 - DELEGACIA DA RFB EM NATAL";"0,00";"3.483,04";"4.192,46";"20,80";
"07/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170198 - DELEGACIA DA RFB EM GOIANIA";"410.909,68";"1.213.792,81";"1.151.102,41";"8.754,76";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170209 - DELEGACIA DA RFB EM MANAUS";"568.449,63";"596.024,92";"547.952,06";"167.613,74";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170600 - COORD.GERAL DE CONTROLE DA DIVIDA PUBLICA";"484.703.655.403,94";"454.339.637.413,32";"454.339.637.413,32";"0,00";
"01/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170177 - SUPERINTENDENCIA REGIONAL DA RFB NA 10A RF";"689.116,82";"21.372,81";"21.372,81";"1.392.970,02";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170262 - DELEGACIA DA RFB EM S.JOSE DOS CAMPOS";"349.524,47";"505.490,96";"623.506,14";"50.751,69";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170121 - DELEGACIA DA RFB EM NITEROI";"26.474,03";"26.474,03";"21.994,94";"28.163,45";
"04/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170213 - DELEGACIA DA RFB EM BOA VISTA";"25.444,98";"0,00";"0,00";"0,00";
"08/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170205 - DELEGACIA DA RFB EM RIO BRANCO";"94.299,15";"82.243,50";"82.608,88";"0,00";
"02/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170999 - COORDENACAO GERAL DE CONTABILIDADE";"0,00";"0,00";"0,00";"167.800,05";
"06/2024";"25000 - Ministério da Fazenda";"25000 - Ministério da Fazenda - Unidades com vínculo direto";"170627 - CENTRO DE SERVICOS COMPARTILHADOS - MF";"- 373.867,65";"37,13";"17.860,58";"0,00";
